Date,Property_Type,Project_Name,Unit_Price,Area
Jul-20,Terrace House,LANDED HOUSING DEVELOPMENT,1204.00,1952.59
Jul-20,Terrace House,GEYLANG CONSERVATION AREA,1969.00,1406.85
Jul-20,Terrace House,LANDED HOUSING DEVELOPMENT,1297.00,1719.01
Aug-20,Detached House,LANDED HOUSING DEVELOPMENT,995.00,6281.87
Aug-20,Semi-Detached House,LANDED HOUSING DEVELOPMENT,967.00,4238.86
Aug-20,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1109.00,2679.16
Aug-20,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1388.00,2176.48
Aug-20,Terrace House,LANDED HOUSING DEVELOPMENT,1228.00,1792.21
Aug-20,Terrace House,LANDED HOUSING DEVELOPMENT,1148.00,2857.84
Aug-20,Terrace House,KIMNAN PARK,1220.00,3236.73
Aug-20,Terrace House,LANDED HOUSING DEVELOPMENT,1441.00,2311.03
Aug-20,Terrace House,LANDED HOUSING DEVELOPMENT,1119.00,2234.61
Aug-20,Terrace House,SIN CHUAN GARDEN,1500.00,2346.55
Sep-20,Semi-Detached House,LANDED HOUSING DEVELOPMENT,934.00,4047.26
Sep-20,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1161.00,2996.70
Sep-20,Semi-Detached House,LANDED HOUSING DEVELOPMENT,951.00,3659.76
Sep-20,Terrace House,LANDED HOUSING DEVELOPMENT,1374.00,3056.98
Sep-20,Terrace House,LANDED HOUSING DEVELOPMENT,832.00,1922.45
Sep-20,Terrace House,LANDED HOUSING DEVELOPMENT,1297.00,1800.82
Oct-20,Terrace House,LANDED HOUSING DEVELOPMENT,1058.00,3023.61
Oct-20,Terrace House,LANDED HOUSING DEVELOPMENT,1368.00,1487.58
Oct-20,Terrace House,LANDED HOUSING DEVELOPMENT,965.00,3895.49
Oct-20,Terrace House,LANDED HOUSING DEVELOPMENT,1399.00,2230.30
Oct-20,Terrace House,LANDED HOUSING DEVELOPMENT,982.00,2952.57
Nov-20,Terrace House,LANDED HOUSING DEVELOPMENT,1365.00,2072.07
Nov-20,Terrace House,LANDED HOUSING DEVELOPMENT,1638.00,1770.68
Nov-20,Terrace House,LANDED HOUSING DEVELOPMENT,1750.00,2171.10
Nov-20,Terrace House,LANDED HOUSING DEVELOPMENT,1056.00,3778.16
Nov-20,Terrace House,SENG YONG VILLAS,1536.00,1770.68
Dec-20,Detached House,LANDED HOUSING DEVELOPMENT,1381.00,5650.02
Dec-20,Detached House,LANDED HOUSING DEVELOPMENT,1011.00,4617.76
Dec-20,Semi-Detached House,SIN CHUAN GARDEN,1228.00,3094.65
Dec-20,Terrace House,LANDED HOUSING DEVELOPMENT,2112.00,1655.50
Dec-20,Terrace House,LANDED HOUSING DEVELOPMENT,1011.00,1483.28
Dec-20,Terrace House,LANDED HOUSING DEVELOPMENT,1137.00,2638.26
Dec-20,Terrace House,LANDED HOUSING DEVELOPMENT,1803.00,1729.77
Dec-20,Terrace House,SERENITY TERRACE,1433.00,1953.67
Dec-20,Terrace House,LANDED HOUSING DEVELOPMENT,1016.00,3397.12
Dec-20,Terrace House,KIMNAN PARK,1458.00,1848.18
Jan-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1657.00,2456.34
Jan-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1150.00,3305.62
Jan-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1304.00,2491.87
Jan-21,Terrace House,LANDED HOUSING DEVELOPMENT,1465.00,1897.69
Jan-21,Terrace House,LANDED HOUSING DEVELOPMENT,1445.00,2353.01
Jan-21,Terrace House,LANDED HOUSING DEVELOPMENT,1674.00,2717.91
Jan-21,Terrace House,LANDED HOUSING DEVELOPMENT,1576.00,1490.81
Feb-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,930.00,3248.58
Feb-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1280.00,3855.66
Feb-21,Terrace House,LANDED HOUSING DEVELOPMENT,1461.00,1677.03
Feb-21,Terrace House,LANDED HOUSING DEVELOPMENT,1501.00,1771.75
Feb-21,Terrace House,LANDED HOUSING DEVELOPMENT,1517.00,3263.64
Mar-21,Detached House,LANDED HOUSING DEVELOPMENT,785.00,4307.75
Mar-21,Detached House,LANDED HOUSING DEVELOPMENT,1107.00,4605.92
Mar-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1122.00,3742.64
Mar-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1098.00,3841.67
Mar-21,Semi-Detached House,LANDED HOUSING DEVELOPMENT,1061.00,3375.59
Mar-21,Terrace House,YONG SENG ESTATE,1380.00,1883.70
Mar-21,Terrace House,GEYLANG CONSERVATION AREA,1752.00,1427.31
Mar-21,Terrace House,LANDED HOUSING DEVELOPMENT,1054.00,3036.52
Mar-21,Terrace House,GEYLANG CONSERVATION AREA,1616.00,1485.43
Mar-21,Terrace House,GEYLANG CONSERVATION AREA,1697.00,1414.39
Apr-21,Detached House,LANDED HOUSING DEVELOPMENT,2104.00,2756.66
Apr-21,Detached House,LANDED HOUSING DEVELOPMENT,1603.00,4989.11
